# Солнечная система
Star 3 maroon 1.0E30 0 0 0 0

Planet 2 blueviolet 10 0 1.0E11 25834.24084 0
Planet 2 blueviolet 10 0.95105651629515357211643933337938E11 0.30901699437494742410229341718282E11 7983.21946 -24569.8231
Planet 3 blueviolet 10 -0.95105651629515357211643933337938E11 0.30901699437494742410229341718282E11 7983.21946 24569.8231
Planet 4 blueviolet 10 0.58778525229247312916870595463907E11 -0.80901699437494742410229341718282E11 -20900.33988 -15184.98577
Planet 5 blueviolet 10 -0.58778525229247312916870595463907E11 -0.80901699437494742410229341718282E11 -20900.33988 15184.98577

Planet 6 blueviolet 10 0 -2.0E11 18267.56689 0
Planet 7 blueviolet 10 1.563662964936059617416889053348115E11 -1.24697960371746706105000976800847E11 11389.641659311368739 14282.1589009672823687557
Planet 8 blueviolet 10 -1.56366296493605961741688905334811E11 -1.24697960371746706105000976800847E11 11389.641659311368739 -14282.158900967282368755
Planet 9 blueviolet 10 1.949855824363647214036263365987862E11 4.450418679126288085778051289935895E10 -4064.916044981195420 17809.5608465580766563061
Planet 10 blueviolet 10 -1.94985582436364721403626336598786E11 4.450418679126288085778051289935895E10 -4064.916044981195420 -17809.560846558076656306
Planet 11 blueviolet 10 8.677674782351162409515366656967175E10 1.801937735804838252472204639014890E11 -16458.50905822679331 7926.00022585582525573984
Planet 12 blueviolet 10 -8.67767478235116240951536665696717E10 1.801937735804838252472204639014890E11 -16458.50905822679331 -7926.0002258558252557398

Planet 13 blueviolet 10 0 3.0E11 14915.40590575172155724743074076276139535876 0
Planet 14 blueviolet 10 0 -3.0E11 -14915.40590575172155724743074076276139535876 0
Planet 15 blueviolet 10 3.0E11 0 0 -14915.40590575172155724743074076276139535876
Planet 16 blueviolet 10 -3.0E11 0 0 14915.40590575172155724743074076276139535876
Planet 17 blueviolet 10 2.121320343559642573202533086314547E11 2.121320343559642573202533086314547E11 10546.784660106921262705255352689081092 -10546.784660106921262705255352689081092
Planet 18 blueviolet 10 -2.121320343559642573202533086314547E11 2.121320343559642573202533086314547E11 10546.784660106921262705255352689081092 10546.784660106921262705255352689081092
Planet 19 blueviolet 10 2.121320343559642573202533086314547E11 -2.121320343559642573202533086314547E11 -10546.784660106921262705255352689081092 -10546.784660106921262705255352689081092
Planet 20 blueviolet 10 -2.121320343559642573202533086314547E11 -2.121320343559642573202533086314547E11 -10546.784660106921262705255352689081092 10546.784660106921262705255352689081092
